Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),Smog Rating,AllOrFourWheelDrive,NumberOfGears,isCVT,Log Fuel Consumption(Comb (L/100 km)),Log CO2 Emissions(g/km),Log Engine Size(L),Log Fuel Consumption(Hwy (L/100 km)),Log Fuel Consumption(City (L/100 km))
Acura,Large,2.4,smaller/equal to 5,AM,L,9.9,7.0,8.6,33,200,3,False,8.0,False,2.151762203259462,5.298317366548036,0.8754687373538999,1.9459101490553132,2.2925347571405443
Acura,SUV: Small,3.5,equal to 6,AS,L,12.6,9.4,11.2,25,263,5,True,10.0,False,2.4159137783010487,5.572154032177765,1.252762968495368,2.2407096892759584,2.533696813957432
Acura,SUV: Small,2.0,smaller/equal to 5,AS,L,11.0,8.6,9.9,29,232,6,True,10.0,False,2.2925347571405443,5.44673737166631,0.6931471805599453,2.151762203259462,2.3978952727983707
Acura,SUV: Small,2.0,smaller/equal to 5,AS,L,11.3,9.1,10.3,27,242,6,True,10.0,False,2.33214389523559,5.488937726156687,0.6931471805599453,2.2082744135228043,2.424802725718295
Acura,Large,2.0,smaller/equal to 5,AS,L,11.2,8.0,9.8,29,230,7,True,10.0,False,2.2823823856765264,5.438079308923196,0.6931471805599453,2.0794415416798357,2.4159137783010487
Acura,Large,2.0,smaller/equal to 5,AS,L,11.3,8.1,9.8,29,231,7,True,10.0,False,2.2823823856765264,5.442417710521793,0.6931471805599453,2.0918640616783932,2.424802725718295
Acura,Large,3.0,equal to 6,AS,L,12.3,9.4,11.0,26,256,5,False,10.0,False,2.3978952727983707,5.545177444479562,1.0986122886681098,2.2407096892759584,2.509599262378372
Acura,Large,3.0,equal to 6,AS,L,12.3,9.8,11.2,25,261,5,False,10.0,False,2.4159137783010487,5.564520407322694,1.0986122886681098,2.2823823856765264,2.509599262378372
Alfa Romeo,Mid-size,2.0,smaller/equal to 5,A,L,10.0,7.2,8.7,32,205,3,False,8.0,False,2.163323025660538,5.3230099791384085,0.6931471805599453,1.9740810260220096,2.302585092994046
Alfa Romeo,Mid-size,2.0,smaller/equal to 5,A,L,10.5,7.7,9.2,31,217,3,True,8.0,False,2.2192034840549946,5.37989735354046,0.6931471805599453,2.0412203288596382,2.3513752571634776
Alfa Romeo,Mid-size,2.9,equal to 6,A,L,13.5,9.3,11.6,24,271,3,False,8.0,False,2.451005098112319,5.602118820879701,1.0647107369924282,2.2300144001592104,2.6026896854443837
Alfa Romeo,SUV: Small,2.0,smaller/equal to 5,A,L,10.3,8.1,9.3,30,218,3,False,8.0,False,2.2300144001592104,5.384495062789089,0.6931471805599453,2.0918640616783932,2.33214389523559
Alfa Romeo,SUV: Small,2.0,smaller/equal to 5,A,L,10.8,8.3,9.6,29,226,3,True,8.0,False,2.2617630984737906,5.420534999272286,0.6931471805599453,2.1162555148025524,2.379546134130174
Alfa Romeo,SUV: Small,2.9,equal to 6,A,L,13.9,10.3,12.3,23,288,3,True,8.0,False,2.509599262378372,5.662960480135946,1.0647107369924282,2.33214389523559,2.631888840136646
Aston Martin,Smallest,4.0,larger/equal to 8,A,L,13.0,9.8,11.5,25,271,5,False,8.0,False,2.4423470353692043,5.602118820879701,1.3862943611198906,2.2823823856765264,2.5649493574615367
Aston Martin,Smallest,5.2,larger/equal to 8,A,L,16.4,10.7,13.8,20,324,3,False,8.0,False,2.624668592163159,5.780743515792329,1.6486586255873816,2.3702437414678603,2.797281334830153
Aston Martin,Smallest,5.2,larger/equal to 8,A,L,16.4,10.7,13.8,20,324,3,False,8.0,False,2.624668592163159,5.780743515792329,1.6486586255873816,2.3702437414678603,2.797281334830153
Aston Martin,SUV: Standard,4.0,larger/equal to 8,A,L,16.8,11.9,14.6,19,343,5,False,9.0,False,2.681021528714291,5.8377304471659395,1.3862943611198906,2.4765384001174837,2.8213788864092133
Aston Martin,Smallest,4.0,larger/equal to 8,A,L,13.1,9.6,11.5,25,270,5,False,8.0,False,2.4423470353692043,5.598421958998375,1.3862943611198906,2.2617630984737906,2.5726122302071057
Audi,Large,2.0,smaller/equal to 5,AM,H,8.5,6.6,7.6,37,178,7,True,7.0,False,2.028148247292285,5.181783550292085,0.6931471805599453,1.8870696490323797,2.1400661634962708
Audi,Large,2.0,smaller/equal to 5,AM,L,9.1,7.0,8.2,34,190,5,True,7.0,False,2.1041341542702074,5.247024072160486,0.6931471805599453,1.9459101490553132,2.2082744135228043
Audi,Large,2.0,smaller/equal to 5,AM,L,9.8,7.6,8.8,32,205,5,True,7.0,False,2.174751721484161,5.3230099791384085,0.6931471805599453,2.028148247292285,2.2823823856765264
Audi,Small,2.0,smaller/equal to 5,AM,L,9.8,7.9,8.9,32,208,5,True,7.0,False,2.186051276738094,5.337538079701318,0.6931471805599453,2.066862759472976,2.2823823856765264
Audi,Large,2.0,smaller/equal to 5,AM,L,10.4,7.5,9.1,31,214,5,True,7.0,False,2.2082744135228043,5.365976015021851,0.6931471805599453,2.0149030205422647,2.341805806147327
Audi,Large,2.0,smaller/equal to 5,AM,L,9.8,7.6,8.8,32,205,5,True,7.0,False,2.174751721484161,5.3230099791384085,0.6931471805599453,2.028148247292285,2.2823823856765264
Audi,Mid-size,2.0,smaller/equal to 5,AM,L,9.8,7.6,8.8,32,205,5,True,7.0,False,2.174751721484161,5.3230099791384085,0.6931471805599453,2.028148247292285,2.2823823856765264
Audi,Mid-size,2.0,smaller/equal to 5,AM,L,10.2,7.4,8.9,32,208,5,True,7.0,False,2.186051276738094,5.337538079701318,0.6931471805599453,2.0014800002101243,2.322387720290225
Audi,Mid-size,3.0,equal to 6,AM,L,11.1,7.8,9.6,29,224,5,True,7.0,False,2.2617630984737906,5.4116460518550396,1.0986122886681098,2.0541237336955462,2.4069451083182885
Audi,Small,3.0,equal to 6,AM,L,11.5,8.3,10.0,28,234,5,True,7.0,False,2.302585092994046,5.455321115357702,1.0986122886681098,2.1162555148025524,2.4423470353692043
Audi,Mid-size,3.0,equal to 6,AM,L,11.1,7.8,9.6,29,224,5,True,7.0,False,2.2617630984737906,5.4116460518550396,1.0986122886681098,2.0541237336955462,2.4069451083182885
Audi,Small,3.0,equal to 6,AS,L,12.6,8.3,10.6,27,248,5,True,8.0,False,2.3608540011180215,5.5134287461649825,1.0986122886681098,2.1162555148025524,2.533696813957432
Audi,SUV: Small,2.0,smaller/equal to 5,AS,H,10.4,7.7,9.2,31,215,7,True,8.0,False,2.2192034840549946,5.3706380281276624,0.6931471805599453,2.0412203288596382,2.341805806147327
Audi,SUV: Small,2.0,smaller/equal to 5,AS,H,11.4,8.3,10.0,28,233,7,True,8.0,False,2.302585092994046,5.4510384535657,0.6931471805599453,2.1162555148025524,2.4336133554004498
Audi,SUV: Small,2.0,smaller/equal to 5,AM,L,10.3,8.1,9.3,30,217,5,True,7.0,False,2.2300144001592104,5.37989735354046,0.6931471805599453,2.0918640616783932,2.33214389523559
Audi,SUV: Small,2.0,smaller/equal to 5,AM,L,10.3,8.4,9.4,30,220,5,True,7.0,False,2.2407096892759584,5.393627546352362,0.6931471805599453,2.128231705849268,2.33214389523559
